Jaar,Toets,Resultaat,Pogingen
4,1,voldoende,1
4,1,voldoende,1
4,1,voldoende,1
4,1,voldoende,1
4,1,voldoende,1
4,1,voldoende,1
4,1,voldoende,1
4,1,voldoende,1
4,1,voldoende,1
4,1,voldoende,1
4,1,voldoende,1
4,1,voldoende,1
4,1,voldoende,1
4,1,voldoende,1
4,1,voldoende,1
4,1,voldoende,1
4,1,voldoende,1
4,1,voldoende,1
4,1,voldoende,1
4,1,voldoende,1
4,1,voldoende,1
4,1,voldoende,1
4,1,voldoende,1
4,1,voldoende,1
4,1,voldoende,1
4,1,voldoende,1
4,1,voldoende,1
4,1,voldoende,1
4,1,voldoende,1
4,1,voldoende,1
4,1,voldoende,1
4,1,voldoende,1
4,1,voldoende,1
4,1,voldoende,1
4,1,voldoende,1
4,2,voldoende,1
4,2,voldoende,1
4,2,voldoende,1
4,2,voldoende,1
4,2,voldoende,1
4,2,voldoende,1
4,2,voldoende,1
4,2,voldoende,1
4,2,voldoende,1
4,2,voldoende,1
4,2,voldoende,1
4,2,voldoende,1
4,2,voldoende,1
4,2,voldoende,1
4,2,voldoende,1
4,2,voldoende,1
4,2,voldoende,1
4,2,voldoende,1
4,2,voldoende,1
4,2,voldoende,1
4,2,voldoende,1
4,2,voldoende,1
4,2,voldoende,1
4,2,voldoende,1
4,2,voldoende,1
4,2,voldoende,1
4,2,voldoende,1
4,2,voldoende,1
4,2,voldoende,1
4,2,voldoende,1
4,2,voldoende,1
4,2,voldoende,1
4,2,voldoende,1
4,2,voldoende,1
4,2,voldoende,1
4,3,voldoende,1
4,3,voldoende,1
4,3,voldoende,1
4,3,voldoende,1
4,3,voldoende,1
4,3,voldoende,1
4,3,voldoende,1
4,3,voldoende,1
4,3,voldoende,1
4,3,voldoende,1
4,3,voldoende,1
4,3,voldoende,1
4,3,voldoende,1
4,3,voldoende,1
4,3,voldoende,1
4,3,voldoende,1
4,3,voldoende,1
4,3,voldoende,1
4,3,voldoende,1
4,3,voldoende,1
4,3,voldoende,1
4,3,voldoende,1
4,3,voldoende,1
4,3,voldoende,1
4,3,voldoende,1
4,3,voldoende,1
4,3,voldoende,1
4,3,voldoende,1
4,3,voldoende,1
4,3,voldoende,1
4,3,voldoende,1
4,3,voldoende,1
4,3,voldoende,1
4,3,onvoldoende,1
4,3,onvoldoende,1
4,4,voldoende,1
4,4,voldoende,1
4,4,voldoende,1
4,4,voldoende,1
4,4,voldoende,1
4,4,voldoende,1
4,4,voldoende,1
4,4,voldoende,1
4,4,voldoende,1
4,4,voldoende,1
4,4,voldoende,1
4,4,voldoende,1
4,4,voldoende,1
4,4,voldoende,1
4,4,voldoende,1
4,4,voldoende,1
4,4,voldoende,1
4,4,voldoende,1
4,4,voldoende,1
4,4,voldoende,1
4,4,voldoende,1
4,4,voldoende,1
4,4,voldoende,1
4,4,voldoende,1
4,4,voldoende,1
4,4,voldoende,1
4,4,voldoende,1
4,4,voldoende,1
4,4,voldoende,1
4,4,voldoende,1
4,4,voldoende,1
4,4,voldoende,1
4,4,onvoldoende,1
4,4,onvoldoende,1
4,4,onvoldoende,1
