voldoende,blok,student,toets_code,toets_naam
1,1,1,11,11.0
0,1,2,11,11.0
0,1,3,11,11.0
0,1,4,11,11.0
0,1,5,11,11.0
1,1,6,11,11.0
1,1,7,11,11.0
0,1,8,11,11.0
0,1,9,11,11.0
1,1,10,11,11.0
1,1,11,11,11.0
1,1,12,11,11.0
0,1,13,11,11.0
0,1,14,11,11.0
0,1,15,11,11.0
1,1,16,11,11.0
0,1,17,11,11.0
0,1,18,11,11.0
0,1,19,11,11.0
1,1,20,11,11.0
1,1,21,11,11.0
1,1,22,11,11.0
1,1,23,11,11.0
0,1,24,11,11.0
1,1,25,11,11.0
1,1,26,11,11.0
0,1,27,11,11.0
0,1,28,11,11.0
0,1,29,11,11.0
0,1,30,11,11.0
0,1,31,11,11.0
0,1,32,11,11.0
1,1,33,11,11.0
1,1,34,11,11.0
0,1,35,11,11.0
0,1,36,11,11.0
1,1,37,11,11.0
1,1,38,11,11.0
0,1,39,11,11.0
1,1,40,11,11.0
0,1,41,11,11.0
0,1,42,11,11.0
0,1,43,11,11.0
1,1,44,11,11.0
1,1,45,11,11.0
1,1,46,11,11.0
1,1,47,11,11.0
1,1,48,11,11.0
1,1,49,11,11.0
0,1,50,11,11.0
1,1,51,11,11.0
0,1,52,11,11.0
1,1,53,11,11.0
1,1,54,11,11.0
1,1,55,11,11.0
1,1,56,11,11.0
1,1,57,11,11.0
0,1,58,11,11.0
0,1,59,11,11.0
1,1,60,11,11.0
0,1,61,11,11.0
1,1,62,11,11.0
1,1,63,11,11.0
0,1,64,11,11.0
0,1,65,11,11.0
1,1,66,11,11.0
0,1,67,11,11.0
0,1,68,11,11.0
0,1,69,11,11.0
1,1,70,11,11.0
1,1,71,11,11.0
0,1,72,11,11.0
1,1,73,11,11.0
0,1,74,11,11.0
0,1,75,11,11.0
1,1,76,11,11.0
0,1,77,11,11.0
0,1,78,11,11.0
0,1,79,11,11.0
0,1,80,11,11.0
1,1,81,11,11.0
0,1,82,11,11.0
0,1,83,11,11.0
0,1,84,11,11.0
0,1,85,11,11.0
1,1,86,11,11.0
1,1,87,11,11.0
0,1,88,11,11.0
1,1,89,11,11.0
0,1,90,11,11.0
0,1,91,11,11.0
0,1,92,11,11.0
1,1,93,11,11.0
0,1,94,11,11.0
0,1,95,11,11.0
1,1,96,11,11.0
1,1,97,11,11.0
1,1,98,11,11.0
0,1,99,11,11.0
0,1,100,11,11.0
1,1,101,11,11.0
0,1,102,11,11.0
1,1,103,11,11.0
0,1,104,11,11.0
1,1,105,11,11.0
0,1,106,11,11.0
1,1,107,11,11.0
1,1,108,11,11.0
1,1,109,11,11.0
0,1,110,11,11.0
1,1,111,11,11.0
0,1,112,11,11.0
1,1,113,11,11.0
0,1,114,11,11.0
0,1,115,11,11.0
0,1,116,11,11.0
1,1,117,11,11.0
0,1,118,11,11.0
0,1,119,11,11.0
0,1,120,11,11.0
1,1,121,11,11.0
0,1,122,11,11.0
0,1,123,11,11.0
0,1,124,11,11.0
0,1,125,11,11.0
0,1,126,11,11.0
1,1,127,11,11.0
0,1,128,11,11.0
0,1,129,11,11.0
1,1,130,11,11.0
0,1,131,11,11.0
0,1,132,11,11.0
0,1,133,11,11.0
1,1,134,11,11.0
0,1,135,11,11.0
1,1,136,11,11.0
1,1,137,11,11.0
0,1,138,11,11.0
0,1,139,11,11.0
1,1,140,11,11.0
0,1,141,11,11.0
0,1,142,11,11.0
1,1,143,11,11.0
1,1,144,11,11.0
0,1,145,11,11.0
1,1,146,11,11.0
1,1,147,11,11.0
1,1,148,11,11.0
0,1,149,11,11.0
0,1,150,11,11.0
0,1,151,11,11.0
1,1,152,11,11.0
0,1,153,11,11.0
1,1,154,11,11.0
0,1,155,11,11.0
1,1,156,11,11.0
1,1,157,11,11.0
1,1,158,11,11.0
0,1,159,11,11.0
0,1,160,11,11.0
0,2,1,12,12.0
0,2,2,12,12.0
0,2,3,12,12.0
1,2,4,12,12.0
0,2,5,12,12.0
1,2,6,12,12.0
1,2,7,12,12.0
1,2,8,12,12.0
1,2,9,12,12.0
1,2,10,12,12.0
1,2,11,12,12.0
1,2,12,12,12.0
0,2,13,12,12.0
0,2,14,12,12.0
0,2,15,12,12.0
0,2,16,12,12.0
0,2,17,12,12.0
0,2,18,12,12.0
0,2,19,12,12.0
0,2,20,12,12.0
0,2,21,12,12.0
1,2,22,12,12.0
1,2,23,12,12.0
1,2,24,12,12.0
0,2,25,12,12.0
1,2,26,12,12.0
1,2,27,12,12.0
0,2,28,12,12.0
1,2,29,12,12.0
0,2,30,12,12.0
1,2,31,12,12.0
0,2,32,12,12.0
0,2,33,12,12.0
0,2,34,12,12.0
0,2,35,12,12.0
0,2,36,12,12.0
0,2,37,12,12.0
1,2,38,12,12.0
0,2,39,12,12.0
0,2,40,12,12.0
0,2,41,12,12.0
1,2,42,12,12.0
0,2,43,12,12.0
1,2,44,12,12.0
0,2,45,12,12.0
0,2,46,12,12.0
0,2,47,12,12.0
1,2,48,12,12.0
0,2,49,12,12.0
0,2,50,12,12.0
0,2,51,12,12.0
1,2,52,12,12.0
0,2,53,12,12.0
1,2,54,12,12.0
1,2,55,12,12.0
1,2,56,12,12.0
0,2,57,12,12.0
1,2,58,12,12.0
0,2,59,12,12.0
1,2,60,12,12.0
0,2,61,12,12.0
0,2,62,12,12.0
0,2,63,12,12.0
1,2,64,12,12.0
1,2,65,12,12.0
1,2,66,12,12.0
0,2,67,12,12.0
1,2,68,12,12.0
1,2,69,12,12.0
0,2,70,12,12.0
1,2,71,12,12.0
1,2,72,12,12.0
1,2,73,12,12.0
0,2,74,12,12.0
0,2,75,12,12.0
1,2,76,12,12.0
1,2,77,12,12.0
1,2,78,12,12.0
0,2,79,12,12.0
1,2,80,12,12.0
1,2,81,12,12.0
1,2,82,12,12.0
0,2,83,12,12.0
1,2,84,12,12.0
0,2,85,12,12.0
1,2,86,12,12.0
1,2,87,12,12.0
1,2,88,12,12.0
0,2,89,12,12.0
1,2,90,12,12.0
1,2,91,12,12.0
0,2,92,12,12.0
1,2,93,12,12.0
0,2,94,12,12.0
1,2,95,12,12.0
0,2,96,12,12.0
1,2,97,12,12.0
1,2,98,12,12.0
0,2,99,12,12.0
1,2,100,12,12.0
0,2,101,12,12.0
1,2,102,12,12.0
0,2,103,12,12.0
1,2,104,12,12.0
0,2,105,12,12.0
0,2,106,12,12.0
1,2,107,12,12.0
0,2,108,12,12.0
0,2,109,12,12.0
0,2,110,12,12.0
0,2,111,12,12.0
0,2,112,12,12.0
0,2,113,12,12.0
0,2,114,12,12.0
0,2,115,12,12.0
0,2,116,12,12.0
1,2,117,12,12.0
1,2,118,12,12.0
0,2,119,12,12.0
0,2,120,12,12.0
1,2,121,12,12.0
1,2,122,12,12.0
1,2,123,12,12.0
0,2,124,12,12.0
1,2,125,12,12.0
1,2,126,12,12.0
0,2,127,12,12.0
1,2,128,12,12.0
0,2,129,12,12.0
0,2,130,12,12.0
0,2,131,12,12.0
0,2,132,12,12.0
1,2,133,12,12.0
1,2,134,12,12.0
1,2,135,12,12.0
1,2,136,12,12.0
0,2,137,12,12.0
1,2,138,12,12.0
1,2,139,12,12.0
0,2,140,12,12.0
1,2,141,12,12.0
1,2,142,12,12.0
0,2,143,12,12.0
0,2,144,12,12.0
1,2,145,12,12.0
0,2,146,12,12.0
1,2,147,12,12.0
1,2,148,12,12.0
0,2,149,12,12.0
0,2,150,12,12.0
0,2,151,12,12.0
0,2,152,12,12.0
1,2,153,12,12.0
0,2,154,12,12.0
0,2,155,12,12.0
0,2,156,12,12.0
0,2,157,12,12.0
0,2,158,12,12.0
1,2,159,12,12.0
0,2,160,12,12.0
0,3,1,13,13.0
0,3,2,13,13.0
1,3,3,13,13.0
1,3,4,13,13.0
0,3,5,13,13.0
1,3,6,13,13.0
1,3,7,13,13.0
0,3,8,13,13.0
0,3,9,13,13.0
1,3,10,13,13.0
1,3,11,13,13.0
1,3,12,13,13.0
0,3,13,13,13.0
0,3,14,13,13.0
1,3,15,13,13.0
1,3,16,13,13.0
1,3,17,13,13.0
1,3,18,13,13.0
0,3,19,13,13.0
0,3,20,13,13.0
1,3,21,13,13.0
0,3,22,13,13.0
1,3,23,13,13.0
1,3,24,13,13.0
0,3,25,13,13.0
1,3,26,13,13.0
1,3,27,13,13.0
1,3,28,13,13.0
1,3,29,13,13.0
1,3,30,13,13.0
0,3,31,13,13.0
0,3,32,13,13.0
1,3,33,13,13.0
0,3,34,13,13.0
1,3,35,13,13.0
1,3,36,13,13.0
1,3,37,13,13.0
1,3,38,13,13.0
0,3,39,13,13.0
0,3,40,13,13.0
1,3,41,13,13.0
0,3,42,13,13.0
1,3,43,13,13.0
0,3,44,13,13.0
0,3,45,13,13.0
0,3,46,13,13.0
0,3,47,13,13.0
1,3,48,13,13.0
1,3,49,13,13.0
1,3,50,13,13.0
0,3,51,13,13.0
0,3,52,13,13.0
0,3,53,13,13.0
0,3,54,13,13.0
1,3,55,13,13.0
1,3,56,13,13.0
0,3,57,13,13.0
0,3,58,13,13.0
0,3,59,13,13.0
1,3,60,13,13.0
1,3,61,13,13.0
1,3,62,13,13.0
1,3,63,13,13.0
0,3,64,13,13.0
1,3,65,13,13.0
1,3,66,13,13.0
0,3,67,13,13.0
1,3,68,13,13.0
1,3,69,13,13.0
0,3,70,13,13.0
0,3,71,13,13.0
1,3,72,13,13.0
0,3,73,13,13.0
0,3,74,13,13.0
1,3,75,13,13.0
0,3,76,13,13.0
1,3,77,13,13.0
0,3,78,13,13.0
1,3,79,13,13.0
1,3,80,13,13.0
0,3,81,13,13.0
0,3,82,13,13.0
1,3,83,13,13.0
1,3,84,13,13.0
0,3,85,13,13.0
0,3,86,13,13.0
1,3,87,13,13.0
1,3,88,13,13.0
1,3,89,13,13.0
1,3,90,13,13.0
