Jaar,Toets,Resultaat,Pogingen
2,1,voldoende,1
2,1,voldoende,1
2,1,voldoende,1
2,1,voldoende,1
2,1,voldoende,1
2,1,voldoende,1
2,1,voldoende,1
2,1,voldoende,1
2,1,voldoende,1
2,1,voldoende,1
2,1,voldoende,1
2,1,voldoende,1
2,1,voldoende,1
2,1,voldoende,1
2,1,voldoende,1
2,1,voldoende,1
2,1,voldoende,1
2,1,voldoende,1
2,1,voldoende,1
2,1,voldoende,1
2,1,voldoende,1
2,1,voldoende,1
2,1,voldoende,1
2,1,voldoende,1
2,1,voldoende,1
2,1,voldoende,1
2,1,voldoende,1
2,1,voldoende,1
2,1,voldoende,1
2,1,voldoende,1
2,1,voldoende,1
2,1,voldoende,1
2,1,voldoende,1
2,1,voldoende,1
2,1,voldoende,1
2,1,voldoende,1
2,1,voldoende,1
2,1,voldoende,1
2,1,voldoende,1
2,1,voldoende,1
2,1,voldoende,1
2,1,voldoende,1
2,1,voldoende,1
2,1,voldoende,1
2,1,voldoende,1
2,1,voldoende,1
2,1,voldoende,1
2,1,onvoldoende,1
2,1,onvoldoende,1
2,1,onvoldoende,1
2,1,onvoldoende,1
2,1,onvoldoende,1
2,1,onvoldoende,1
2,1,onvoldoende,1
2,1,onvoldoende,1
2,1,onvoldoende,1
2,1,onvoldoende,1
2,1,onvoldoende,1
2,1,onvoldoende,1
2,1,onvoldoende,1
2,2,voldoende,1
2,2,voldoende,1
2,2,voldoende,1
2,2,voldoende,1
2,2,voldoende,1
2,2,voldoende,1
2,2,voldoende,1
2,2,voldoende,1
2,2,voldoende,1
2,2,voldoende,1
2,2,voldoende,1
2,2,voldoende,1
2,2,voldoende,1
2,2,voldoende,1
2,2,voldoende,1
2,2,voldoende,1
2,2,voldoende,1
2,2,voldoende,1
2,2,voldoende,1
2,2,voldoende,1
2,2,voldoende,1
2,2,voldoende,1
2,2,voldoende,1
2,2,voldoende,1
2,2,voldoende,1
2,2,voldoende,1
2,2,voldoende,1
2,2,voldoende,1
2,2,voldoende,1
2,2,voldoende,1
2,2,voldoende,1
2,2,voldoende,1
2,2,voldoende,1
2,2,voldoende,1
2,2,voldoende,1
2,2,voldoende,1
2,2,voldoende,1
2,2,voldoende,1
2,2,voldoende,1
2,2,voldoende,1
2,2,voldoende,1
2,2,voldoende,1
2,2,voldoende,1
2,2,voldoende,1
2,2,voldoende,1
2,2,voldoende,1
2,2,voldoende,1
2,2,onvoldoende,1
2,2,onvoldoende,1
2,2,onvoldoende,1
2,2,onvoldoende,1
2,2,onvoldoende,1
2,2,onvoldoende,1
2,2,onvoldoende,1
2,2,onvoldoende,1
2,2,onvoldoende,1
2,2,onvoldoende,1
2,2,onvoldoende,1
2,2,onvoldoende,1
2,2,onvoldoende,1
2,3,voldoende,1
2,3,voldoende,1
2,3,voldoende,1
2,3,voldoende,1
2,3,voldoende,1
2,3,voldoende,1
2,3,voldoende,1
2,3,voldoende,1
2,3,voldoende,1
2,3,voldoende,1
2,3,voldoende,1
2,3,voldoende,1
2,3,voldoende,1
2,3,voldoende,1
2,3,voldoende,1
2,3,voldoende,1
2,3,voldoende,1
2,3,voldoende,1
2,3,voldoende,1
2,3,voldoende,1
2,3,voldoende,1
2,3,voldoende,1
2,3,voldoende,1
2,3,voldoende,1
2,3,voldoende,1
2,3,voldoende,1
2,3,voldoende,1
2,3,voldoende,1
2,3,voldoende,1
2,3,voldoende,1
2,3,voldoende,1
2,3,voldoende,1
2,3,voldoende,1
2,3,voldoende,1
2,3,voldoende,1
2,3,voldoende,1
2,3,voldoende,1
2,3,voldoende,1
2,3,voldoende,1
2,3,voldoende,1
2,3,voldoende,1
2,3,voldoende,1
2,3,voldoende,1
2,3,voldoende,1
2,3,voldoende,1
2,3,voldoende,1
2,3,voldoende,1
2,3,voldoende,1
2,3,voldoende,1
2,3,voldoende,1
2,3,voldoende,1
2,3,voldoende,1
2,3,voldoende,1
2,3,voldoende,1
2,3,voldoende,1
2,3,voldoende,1
2,3,voldoende,1
2,3,voldoende,1
2,3,voldoende,1
2,3,onvoldoende,1
2,4,voldoende,1
2,4,voldoende,1
2,4,voldoende,1
2,4,voldoende,1
2,4,voldoende,1
2,4,voldoende,1
2,4,voldoende,1
2,4,voldoende,1
2,4,voldoende,1
2,4,voldoende,1
2,4,voldoende,1
2,4,voldoende,1
2,4,voldoende,1
2,4,voldoende,1
2,4,voldoende,1
2,4,voldoende,1
2,4,voldoende,1
2,4,voldoende,1
2,4,voldoende,1
2,4,voldoende,1
2,4,voldoende,1
2,4,voldoende,1
2,4,voldoende,1
2,4,voldoende,1
2,4,voldoende,1
2,4,voldoende,1
2,4,voldoende,1
2,4,voldoende,1
2,4,voldoende,1
2,4,voldoende,1
2,4,voldoende,1
2,4,voldoende,1
2,4,voldoende,1
2,4,voldoende,1
2,4,voldoende,1
2,4,voldoende,1
2,4,voldoende,1
2,4,voldoende,1
2,4,voldoende,1
2,4,voldoende,1
2,4,voldoende,1
2,4,voldoende,1
2,4,voldoende,1
2,4,voldoende,1
2,4,voldoende,1
2,4,voldoende,1
2,4,voldoende,1
2,4,voldoende,1
2,4,voldoende,1
2,4,voldoende,1
2,4,voldoende,1
2,4,voldoende,1
2,4,voldoende,1
2,4,voldoende,1
2,4,voldoende,1
2,4,voldoende,1
2,4,voldoende,1
2,4,onvoldoende,1
2,4,onvoldoende,1
2,4,onvoldoende,1
