Jaar,Toets,Resultaat,Pogingen
3,1,voldoende,1
3,1,voldoende,1
3,1,voldoende,1
3,1,voldoende,1
3,1,voldoende,1
3,1,voldoende,1
3,1,voldoende,1
3,1,voldoende,1
3,1,voldoende,1
3,1,voldoende,1
3,1,voldoende,1
3,1,voldoende,1
3,1,voldoende,1
3,1,voldoende,1
3,1,voldoende,1
3,1,voldoende,1
3,1,voldoende,1
3,1,voldoende,1
3,1,voldoende,1
3,1,voldoende,1
3,1,onvoldoende,1
3,1,onvoldoende,1
3,1,onvoldoende,1
3,1,onvoldoende,1
3,1,onvoldoende,1
3,1,onvoldoende,1
3,1,onvoldoende,1
3,1,onvoldoende,1
3,1,onvoldoende,1
3,1,onvoldoende,1
3,1,onvoldoende,1
3,1,onvoldoende,1
3,1,onvoldoende,1
3,1,onvoldoende,1
3,1,onvoldoende,1
3,1,onvoldoende,1
3,1,onvoldoende,1
3,1,onvoldoende,1
3,1,onvoldoende,1
3,1,onvoldoende,1
3,2,voldoende,1
3,2,voldoende,1
3,2,voldoende,1
3,2,voldoende,1
3,2,voldoende,1
3,2,voldoende,1
3,2,voldoende,1
3,2,voldoende,1
3,2,voldoende,1
3,2,voldoende,1
3,2,voldoende,1
3,2,voldoende,1
3,2,voldoende,1
3,2,voldoende,1
3,2,voldoende,1
3,2,voldoende,1
3,2,voldoende,1
3,2,voldoende,1
3,2,voldoende,1
3,2,voldoende,1
3,2,voldoende,1
3,2,voldoende,1
3,2,voldoende,1
3,2,voldoende,1
3,2,voldoende,1
3,2,voldoende,1
3,2,voldoende,1
3,2,onvoldoende,1
3,2,onvoldoende,1
3,2,onvoldoende,1
3,2,onvoldoende,1
3,2,onvoldoende,1
3,2,onvoldoende,1
3,2,onvoldoende,1
3,2,onvoldoende,1
3,2,onvoldoende,1
3,2,onvoldoende,1
3,2,onvoldoende,1
3,2,onvoldoende,1
3,2,onvoldoende,1
3,3,voldoende,1
3,3,voldoende,1
3,3,voldoende,1
3,3,voldoende,1
3,3,voldoende,1
3,3,voldoende,1
3,3,voldoende,1
3,3,voldoende,1
3,3,voldoende,1
3,3,voldoende,1
3,3,voldoende,1
3,3,voldoende,1
3,3,voldoende,1
3,3,voldoende,1
3,3,voldoende,1
3,3,voldoende,1
3,3,voldoende,1
3,3,voldoende,1
3,3,voldoende,1
3,3,voldoende,1
3,3,voldoende,1
3,3,voldoende,1
3,3,voldoende,1
3,3,voldoende,1
3,3,voldoende,1
3,3,voldoende,1
3,3,voldoende,1
3,3,voldoende,1
3,3,voldoende,1
3,3,voldoende,1
3,3,voldoende,1
3,3,voldoende,1
3,3,voldoende,1
3,3,onvoldoende,1
3,3,onvoldoende,1
3,3,onvoldoende,1
3,3,onvoldoende,1
3,3,onvoldoende,1
3,3,onvoldoende,1
3,3,onvoldoende,1
3,4,voldoende,1
3,4,voldoende,1
3,4,voldoende,1
3,4,voldoende,1
3,4,voldoende,1
3,4,voldoende,1
3,4,voldoende,1
3,4,voldoende,1
3,4,voldoende,1
3,4,voldoende,1
3,4,voldoende,1
3,4,voldoende,1
3,4,voldoende,1
3,4,voldoende,1
3,4,voldoende,1
3,4,voldoende,1
3,4,voldoende,1
3,4,voldoende,1
3,4,voldoende,1
3,4,voldoende,1
3,4,voldoende,1
3,4,voldoende,1
3,4,voldoende,1
3,4,voldoende,1
3,4,voldoende,1
3,4,voldoende,1
3,4,voldoende,1
3,4,voldoende,1
3,4,voldoende,1
3,4,voldoende,1
3,4,voldoende,1
3,4,voldoende,1
3,4,voldoende,1
3,4,voldoende,1
3,4,voldoende,1
3,4,voldoende,1
3,4,voldoende,1
3,4,onvoldoende,1
3,4,onvoldoende,1
3,4,onvoldoende,1
